NameOfStation,IncomingPassengers,OutgoingPassengers
Третьяковская,10540784,11080316
Тропарёво,6472598,6382330
Трубная,6333158,6707027
Тульская,11908271,12297111
Тургеневская,7104450,7522130
Тушинская,15243587,14598242
Тютчевская,323705,311506
Тёплый стан,21011888,20645519
Угрешская,1848391,1951249
Улица 1905 года,15180512,15783269
Улица Академика Королёва,62826,55920
Улица Горчакова,3306593,3234595
Улица Милашенкова,74266,66133
Улица Сергея Эйзенштейна,87429,76802
Улица Скобелевская,6750016,6453261
Улица Старокачаловская,0,0
Улица академика Янгеля,9564698,9352973
Университет,11552868,11709488
Университет Дружбы Народов,1245147,1290225
Физтех,4138527,3936505
Филатов луг,7529763,7336930
Фили,6584096,6562059
Филёвский парк,3291616,3178305
Фонвизинская,4814516,4781069
Фрунзенская,10353223,10903609
Ховрино,16843551,15095163
Хорошёво,2510637,2671865
Хорошёвская,4898429,5037174
ЦСКА,12574092,12900531
Царицыно,20681256,19703798
Цветной бульвар,7946701,8328651
Черкизовская,6768663,5918510
Чертановская,11177400,11143065
Чеховская,7568291,8055467
Чистые пруды,7340902,7665235
Чкаловская,7205639,7421659
Шаболовская,8757766,9212306
Шелепиха,6152618,6367328
Шипиловская,4785376,4770062
Шоссе Энтузиастов,9759521,10485013
Щукинская,14740670,14666970
Щёлковская,25104983,23705686
Электрозаводская,18134251,20055653
Юго-Восточная,4849615,4911081
Юго-Западная,18541254,18819195
Южная,8034606,7968476
Ясенево,10696850,10550298
Яхромская,6312744,6162648
улица Дмитриевского,3421243,3421946
