station,latitude,longitude,IncomingPassengers,OutgoingPassengers
академическая,55.6877,37.5733,11595003.0,11683305.0
профсоюзная,55.678,37.5627,10735729.0,10994582.0
новые черёмушки,55.6702,37.5544,11683506.0,11884655.0
калужская,55.6571,37.5405,8847362.0,9276650.0
беляево,55.6428,37.5257,12503995.0,12658962.0
коньково,55.6333,37.5188,9707680.0,9676135.0
тёплый стан,55.6191,37.5082,21011888.0,20645519.0
ясенево,55.6063,37.5333,10696850.0,10550298.0
новоясеневская,55.601,37.5541,2294467.0,2214892.0
планерная,55.8607,37.4364,13951567.0,13459574.0
сходненская,55.8505,37.4396,16956857.0,16623778.0
тушинская,55.8267,37.4368,15243587.0,14598242.0
спартак,55.818248,37.435751,2957390.0,2900379.0
щукинская,55.8086,37.4641,14740670.0,14666970.0
октябрьское поле,55.7935,37.4935,13515224.0,13731158.0
полежаевская,55.7775,37.5192,9706286.0,9929034.0
беговая,55.7738,37.5468,11521420.0,11629874.0
улица 1905 года,55.765,37.5613,15180512.0,15783269.0
баррикадная,55.7612,37.5795,8414646.0,8651591.0
пушкинская,55.765,37.6079,15391841.0,16106770.0
кузнецкий мост,55.7606,37.6259,7780604.0,8268951.0
пролетарская,55.7319,37.6659,10866210.0,11028126.0
волгоградский проспект,55.7253,37.6869,7472764.0,7608207.0
текстильщики,55.7088,37.7316,22822470.0,25378957.0
кузьминки,55.7056,37.7656,18849878.0,18856635.0
рязанский проспект,55.717,37.7933,9835811.0,9905208.0
выхино,55.7156,37.8181,22190759.0,21323066.0
лермонтовский проспект,55.7013,37.8525,6273351.0,6041457.0
жулебино,55.6855,37.8563,8678374.0,8480940.0
котельники,55.6743,37.8582,20319967.0,18478222.0
марксистская,55.7411,37.6543,7694902.0,8028457.0
площадь ильича,55.7472,37.6824,6733939.0,6778132.0
авиамоторная,55.7524,37.7191,15809737.0,16806633.0
шоссе энтузиастов,55.7576,37.75,9759521.0,10485013.0
перово,55.7511,37.7866,13056465.0,12917003.0
новогиреево,55.7517,37.8166,22044555.0,21264778.0
новокосино,55.7451,37.8638,18901062.0,18340818.0
минская,55.724818,37.496675,3028133.0,3049406.0
ломоносовский проспект,55.707119,37.516196,5074988.0,5091019.0
раменки,55.697574,37.498477,6680598.0,6605538.0
мичуринский проспект,55.689484,37.483044,5404548.0,5500363.0
озёрная,55.670452,37.448459,6278189.0,6185006.0
говорово,55.659548,37.417254,4294626.0,4141852.0
солнцево,55.649578,37.391081,7125287.0,6892370.0
боровское шоссе,55.647746,37.370396,1918356.0,1809152.0
новопеределкино,55.639645,37.355248,5784642.0,5510771.0
рассказовка,55.634053,37.335158,6474117.0,6190757.0
пыхтино,55.625,37.298,3507706.0,3284018.0
аэропорт внуково,55.607087,37.287702,3498903.0,2315875.0
алтуфьево,55.898,37.587,12737544.0,12454461.0
бибирево,55.8838,37.6034,9632228.0,9609733.0
отрадное,55.8633,37.6047,16637276.0,16719139.0
владыкино,55.8473,37.5899,8307236.0,9787474.0
петровско-разумовская,55.8351,37.5745,7653908.0,7344085.0
тимирязевская,55.8176,37.5765,8707249.0,8562701.0
дмитровская,55.8069,37.5817,12264627.0,12558310.0
савёловская,55.7927,37.5885,18599510.0,18567712.0
менделеевская,55.781,37.6011,8641207.0,9141539.0
цветной бульвар,55.7708,37.6187,7946701.0,8328651.0
чеховская,55.764821,37.609087,7568291.0,8055467.0
боровицкая,55.7511,37.6072,2378025.0,2505108.0
полянка,55.7379,37.618,5810085.0,6119533.0
серпуховская,55.728,37.6246,7804328.0,8233803.0
тульская,55.7087,37.6229,11908271.0,12297111.0
нагатинская,55.683,37.6224,13253140.0,13498293.0
нагорная,55.6724,37.6104,6054392.0,6176129.0
нахимовский проспект,55.6627,37.6055,6892736.0,6980679.0
севастопольская,55.6524,37.5984,2788130.0,2883686.0
чертановская,55.6405,37.6067,11177400.0,11143065.0
южная,55.6224,37.609,8034606.0,7968476.0
пражская,55.6124,37.6044,16555462.0,16538843.0
улица академика янгеля,55.5949,37.6004,9564698.0,9352973.0
аннино,55.5828,37.5966,8452667.0,7824871.0
бульвар дмитрия донского,55.5693,37.5769,19923615.0,19073368.0
физтех,55.9216,37.5465,4138527.0,3936505.0
лианозово,55.8989,37.5446,5546927.0,5324324.0
яхромская,55.8799,37.5454,6312744.0,6162648.0
селигерская,55.8665,37.5471,10400973.0,10162011.0
верхние лихоборы,55.856,37.561,4930329.0,4876631.0
окружная,55.846096,37.573971,8802621.0,9123895.0
фонвизинская,55.8228,37.5881,4814516.0,4781069.0
бутырская,55.8133,37.6028,5516816.0,5663887.0
марьина роща,55.7954,37.6162,2884183.0,2945448.0
марьина роща,55.7954,37.6162,8691018.0,8939731.0
достоевская,55.7816,37.6151,4578246.0,4756225.0
трубная,55.7688,37.62,6333158.0,6707027.0
сретенский бульвар,55.7668,37.6392,2811104.0,3017573.0
чкаловская,55.7565,37.6573,7205639.0,7421659.0
римская,55.7463,37.6819,5816978.0,5928569.0
крестьянская застава,55.7331,37.6673,2789298.0,2928230.0
дубровка,55.7186,37.676,8711877.0,9150930.0
кожуховская,55.7074,37.6851,7188359.0,7456689.0
печатники,55.6934,37.727,8571631.0,8576430.0
волжская,55.6909,37.753,5382441.0,5442494.0
люблино,55.6758,37.7618,14664592.0,14187009.0
братиславская,55.6597,37.7505,13234614.0,13101511.0
марьино,55.65,37.7431,10538129.0,10399085.0
борисово,55.6334,37.7436,3841245.0,3781694.0
шипиловская,55.6211,37.7437,4785376.0,4770062.0
зябликово,55.6124,37.7453,3836987.0,3698376.0
петровский парк,55.791867,37.557221,6518112.0,6776932.0
цска,55.786574,37.533222,12574092.0,12900531.0
хорошёвская,55.776695,37.519124,4898429.0,5037174.0
народное ополчение,55.775701,37.485072,8344050.0,8327690.0
мнёвники,55.761152,37.47139,287068.0,262295.0
терехово,55.748,37.4596,2406216.0,2569639.0
давыдково,55.7152,37.4517,4570451.0,4615451.0
аминьевская,55.6971,37.4651,9426693.0,9286491.0
новаторская,55.6699,37.5221,6191126.0,6238117.0
воронцовская,55.6589,37.5393,5275840.0,5538359.0
зюзино,55.6558,37.5735,8139294.0,8236669.0
