metro_id,title,price,address,latitude,longitude,link
1,"Офисные форматы в БЦ ""ХЦ Лейпциг""",15 000 ₽/мес.,"Генерала Тюленева
⋅
15 минут пешком
ТЦ «Fashion House Лейпциг (Фэшн Хаус Лейпциг)»
Москва, ЮЗАО, р-н Теплый Стан, м. Генерала Тюленева, улица Академика Варги, 8К1",,,https://www.cian.ru/rent/commercial/288378063/
1,"под яндекс-лавку/самокат, 160м
Своб. назнач. 160 м² за 260 000 руб./мес.",,"Шоссе Энтузиастов
⋅
6 минут пешком
Москва, ВАО, р-н Перово, м. Шоссе Энтузиастов, Электродная улица, 2С37",,,https://www.cian.ru/rent/commercial/323412394/
2,"Ритейл в ЖК ""Зиларт""
Своб. назнач. 57,7 м² за 290 000 руб./мес.",,"Автозаводская
⋅
20 минут пешком
ЖК «ЗИЛАРТ»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, бульвар Братьев Весниных, 1",,,https://www.cian.ru/rent/commercial/298518597/
2,"Ритейл в ЖК ""Зиларт""
Своб. назнач. 171,9 м² за 644 625 руб./мес.",,"Автозаводская
⋅
18 минут пешком
ЖК «ЗИЛАРТ»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, бульвар Братьев Весниных, 1",,,https://www.cian.ru/rent/commercial/283377456/
2,Своб. назнач. 612 м² за 1 045 500 руб./мес.,,"Автозаводская
⋅
16 минут пешком
Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, Велозаводская улица, 3/2",,,https://www.cian.ru/rent/commercial/321166296/
2,Своб. назнач. 660 м² за 1 375 000 руб./мес.,,"Автозаводская
⋅
11 минут пешком
ЖК «Квартал Foriver»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Эдуарда Стрельцова, 2к1",,,https://www.cian.ru/rent/commercial/321707811/
2,Своб. назнач.Панорама177 – 760 м² от 383 500 ₽/мес.,383 500 ₽/мес.,"Автозаводская
⋅
1 минута пешком
БЦ «Панорама»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Мастеркова, 4",,,https://www.cian.ru/rent/commercial/317342705/
2,Своб. назнач.Панорама260 – 760 м² от 550 000 ₽/мес.,550 000 ₽/мес.,"Автозаводская
⋅
1 минута пешком
БЦ «Панорама»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Мастеркова, 4",,,https://www.cian.ru/rent/commercial/322925398/
2,Своб. назнач.ВТИ РТС АВТОЗАВОДСКАЯ7 – 2 043 м² от 100 000 ₽/мес.,100 000 ₽/мес.,"Автозаводская
⋅
10 минут пешком
БЦ «ВТИ»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, Автозаводская улица, 14",,,https://www.cian.ru/rent/commercial/312726818/
2,"Своб. назнач. 500 м² за 1 250 000 руб./мес.
КЛАСС B",,"Автозаводская
⋅
1 минута пешком
БЦ «Панорама»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Мастеркова, 4",,,https://www.cian.ru/rent/commercial/314774802/
2,Своб. назнач. 53 м² за 300 000 руб./мес.,,"Автозаводская
⋅
4 минуты пешком
ЖК «Клубный дом Story»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, 3-й Автозаводский проезд, 3",,,https://www.cian.ru/rent/commercial/319641873/
2,"Своб. назнач. 15,5 м² за 115 000 руб./мес.",,"Автозаводская
⋅
4 минуты пешком
ЖК «Клубный дом Story»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, 3-й Автозаводский проезд, 3",,,https://www.cian.ru/rent/commercial/322556526/
2,"Своб. назнач. 48,8 м² за 240 000 руб./мес.","Арт. 120871739 Помещение свободного назначения в ЖК ZILART — 49 м², 1 этаж Москва, ул. Родченко, 2 Метро: ЗИЛ — 17 мин. пешком Аренда: 240 000 ₽ в месяц (без комиссии) Описание: Предлагается в аренду помещение 49 м² на первом этаже жилого комплекса бизнес-...","Автозаводская
⋅
6 минут на транспорте
ЖК «ЗИЛАРТ»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Родченко, 2",,,https://www.cian.ru/rent/commercial/322993504/
2,Своб. назнач. 42 м² за 45 500 руб./мес.,,"Автозаводская
⋅
6 минут на транспорте
БЦ «на ул. Автозаводская, 25»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, Автозаводская улица, 25",,,https://www.cian.ru/rent/commercial/323092804/
2,Своб. назнач. 16 м² за 35 000 руб./мес.,,"Автозаводская
⋅
13 минут пешком
Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, улица 1-я Машиностроения, 2/7К2",,,https://www.cian.ru/rent/commercial/323318073/
2,Своб. назнач. 300 м² за 240 000 руб./мес.,,"Автозаводская
⋅
20 минут пешком
Москва, ЮАО, р-н Даниловский, м. Автозаводская, Автозаводская улица, 20С3",,,https://www.cian.ru/rent/commercial/320587355/
2,Своб. назнач. 37 м² за 65 000 руб./мес.,,"Автозаводская
⋅
3 минуты пешком
Москва, ЮАО, р-н Даниловский, м. Автозаводская, 3-й Автозаводский проезд, 4",,,https://www.cian.ru/rent/commercial/323204399/
2,Своб. назнач. 92 м² за 268 334 руб./мес.,,"Автозаводская
⋅
19 минут пешком
ЖК «Квартал Foriver (RiverSky)»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Виктора Маслова, 2",,,https://www.cian.ru/rent/commercial/304767725/
2,"Своб. назнач. 105,5 м² за 460 000 руб./мес.",,"Автозаводская
⋅
6 минут на транспорте
ЖК «ЗИЛАРТ»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Архитектора Щусева, 4к2",,,https://www.cian.ru/rent/commercial/320102378/
2,Своб. назнач. 20 м² за 55 000 руб./мес.,,"Автозаводская
⋅
6 минут пешком
Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, 5-я Кожуховская улица, 9",,,https://www.cian.ru/rent/commercial/323203235/
2,Своб. назнач. 60 м² за 400 000 руб./мес.,,"Автозаводская
⋅
19 минут пешком
ЖК «Квартал Foriver (RiverSky)»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, улица Виктора Маслова, 2",,,https://www.cian.ru/rent/commercial/320723786/
2,Своб. назнач. 70 м² за 230 000 руб./мес.,,"Автозаводская
⋅
19 минут пешком
Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, улица 1-я Машиностроения, 5А",,,https://www.cian.ru/rent/commercial/322870864/
2,Своб. назнач. 80 м² за 280 000 руб./мес.,,"Автозаводская
⋅
13 минут пешком
ЖК «Парк Легенд»
Москва, ЮАО, р-н Даниловский, м. Автозаводская, Автозаводская улица, 23Бк2",,,https://www.cian.ru/rent/commercial/321904969/
