,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
407,311186253,55.774467,37.581613,80000,5.0,1,5,https://www.cian.ru/rent/commercial/311186253/,"Москва, ЦАО, р-н Пресненский, м. Белорусская, улица Грузинский Вал, 26С1"
408,322775402,55.694535,37.75921,63900,21.3,1,1,https://www.cian.ru/rent/commercial/322775402/,"Москва, ЮВАО, р-н Кузьминки, м. Волжская, Волжский бульвар, 51С7"
409,322615931,55.83843,37.573842,55000,27.0,1,5,https://www.cian.ru/rent/commercial/322615931/,"Москва, САО, р-н Тимирязевский, м. Петровско-Разумовская, Дмитровское шоссе, 30К1"
410,315775108,55.770076,37.57298,90000,20.0,1,9,https://www.cian.ru/rent/commercial/315775108/,"Москва, ЦАО, р-н Пресненский, м. Белорусская, улица Малая Грузинская, 46"
411,308542879,55.777621,37.516871,100000,10.0,1,2,https://www.cian.ru/rent/commercial/308542879/,"Москва, САО, р-н Хорошевский, м. Полежаевская, Хорошевское шоссе, 88С1"
412,322872290,55.78197,37.670115,22000,54.0,1,3,https://www.cian.ru/rent/commercial/322872290/,"Москва, ЦАО, р-н Красносельский, м. Красносельская, Русаковская улица, 1"
413,313497351,55.571261,37.490712,80000,40.0,1,16,https://www.cian.ru/rent/commercial/313497351/,"Москва, НАО (Новомосковский), м. Потапово, пос. Коммунарка, улица Липовый Парк, 4к3"
414,317762214,55.719754,37.425432,60000,39.0,1,2,https://www.cian.ru/rent/commercial/317762214/,"Москва, ЗАО, р-н Можайский, м. Рабочий посёлок, Можайское шоссе, 25"
415,321385529,55.635528,37.52616,30000,5.0,1,1,https://www.cian.ru/rent/commercial/321385529/,"Москва, ЮЗАО, р-н Коньково, м. Коньково, Профсоюзная улица, 103А"
416,322615934,55.83843,37.573842,95000,42.4,1,5,https://www.cian.ru/rent/commercial/322615934/,"Москва, САО, р-н Тимирязевский, м. Петровско-Разумовская, Дмитровское шоссе, 30К1"
417,323024719,55.553574,37.506738,110000,63.0,1,15,https://www.cian.ru/rent/commercial/323024719/,"Москва, НАО (Новомосковский), м. Потапово, Скандинавия ЖК, улица Эдварда Грига, 18к3"
418,319497866,55.72275,37.895511,40000,60.0,1,24,https://www.cian.ru/rent/commercial/319497866/,"Москва, ВАО, р-н Косино-Ухтомский, м. Лухмановская, Лухмановская улица, 17к1"
419,322818865,55.662471,37.645348,6000,5.0,1,5,https://www.cian.ru/rent/commercial/322818865/,"Москва, ЮАО, р-н Нагатино-Садовники, м. Каширская, улица Академика Миллионщикова, 31А"
420,319310636,55.566395,37.498772,81000,33.5,1,9,https://www.cian.ru/rent/commercial/319310636/,"Москва, НАО (Новомосковский), м. Потапово, бульвар Скандинавский, 5к1"
421,321120975,55.701364,37.751529,65000,26.0,1,16,https://www.cian.ru/rent/commercial/321120975/,"Москва, ЮВАО, р-н Кузьминки, м. Кузьминки, Юго-Восточный ао, Волжский Бульвар 114А кв-л, к9"
422,321415017,55.557246,37.500405,45000,20.0,1,16,https://www.cian.ru/rent/commercial/321415017/,"Москва, НАО (Новомосковский), м. Потапово, Сосенское поселение, проспект Куприна, 3к1"
